quality_id,call_id,quality_score,comment
98,98,3.9,Agent helpful
99,99,4.4,
100,100,4.0,Agent helpful
101,101,5.0,Agent helpful
102,102,4.4,Unhelpful
103,103,3.9,Good service
104,104,1.8,Unhelpful
105,105,4.7,
106,106,3.2,
107,107,4.6,Agent helpful
108,108,4.3,Unhelpful
109,109,3.9,Resolved
110,110,4.7,Long wait
111,111,4.4,Unhelpful
112,112,,Unhelpful
113,113,4.2,Agent helpful
114,114,2.8,Agent helpful
115,115,,Resolved
116,116,4.0,Good service
117,117,3.1,Unhelpful
118,118,3.2,Agent helpful
119,119,3.7,Unhelpful
120,120,5.0,Long wait
121,121,4.3,Agent helpful
122,122,4.3,Agent helpful
123,123,4.5,Agent helpful
124,124,3.4,
125,125,2.9,Unhelpful
126,126,2.8,Good service
127,127,4.2,Unhelpful
128,128,4.7,Agent helpful
129,129,,
130,130,4.6,
131,131,,Unhelpful
132,132,3.4,Agent helpful
133,133,4.9,Good service
134,134,5.0,Good service
135,135,4.4,Agent helpful
136,136,5.0,Resolved
137,137,4.6,Agent helpful
138,138,3.8,Agent helpful
139,139,3.5,Resolved
140,140,2.9,Unhelpful
141,141,3.7,Good service
142,142,3.8,Good service
143,143,3.8,Good service
144,144,3.9,Unhelpful
145,145,2.4,Agent helpful
146,146,4.5,Long wait
147,147,4.6,Good service
148,148,4.3,Agent helpful
149,149,3.2,Long wait
150,150,4.3,Resolved
151,151,4.0,Good service
152,152,4.3,Long wait
153,153,5.0,Agent helpful
154,154,3.9,Unhelpful
155,155,4.1,Agent helpful
156,156,3.4,Unhelpful
157,157,4.6,
158,158,4.5,
159,159,4.2,Good service
160,160,3.3,Unhelpful
161,161,3.5,Agent helpful
162,162,2.7,Resolved
163,163,3.5,Unhelpful
164,164,4.5,Unhelpful
165,165,4.3,Agent helpful
166,166,4.1,
167,167,5.0,
168,168,4.2,Long wait
169,169,3.6,Resolved
170,170,3.5,
171,171,3.8,
172,172,3.7,
173,173,4.7,Resolved
174,174,4.3,Agent helpful
175,175,3.8,Resolved
176,176,3.8,Good service
177,177,4.5,Resolved
178,178,4.7,
179,179,2.7,Good service
180,180,3.9,Good service
181,181,4.1,Good service
182,182,4.4,
183,183,4.1,Good service
184,184,4.3,Unhelpful
185,185,3.8,Unhelpful
186,186,3.4,Agent helpful
187,187,4.5,
188,188,4.6,Unhelpful
189,189,4.5,Good service
190,190,4.6,
191,191,3.3,Resolved
192,192,3.6,
193,193,4.8,
194,194,4.2,Long wait
195,195,4.0,Good service
196,196,3.8,
197,197,4.9,Unhelpful
198,198,2.8,Good service
199,199,4.2,Good service
200,200,4.0,Unhelpful
201,201,3.1,Good service
202,202,5.0,
203,203,2.1,Agent helpful
204,204,4.1,Resolved
205,205,4.4,Agent helpful
206,206,3.3,Good service
207,207,4.2,
208,208,3.8,Resolved
209,209,4.7,Resolved
210,210,5.0,Unhelpful
211,211,4.2,
212,212,4.4,Resolved
213,213,3.3,Resolved
214,214,4.2,Unhelpful
215,215,3.7,Resolved
216,216,,
217,217,,Good service
218,218,4.5,Good service
219,219,3.0,Good service
220,220,,Long wait
221,221,3.2,Unhelpful
222,222,4.8,Resolved
223,223,4.1,Long wait
224,224,4.9,Resolved
225,225,4.3,Agent helpful
226,226,4.4,Resolved
227,227,3.8,Agent helpful
228,228,3.9,
229,229,4.7,
230,230,3.9,Agent helpful
231,231,4.8,Resolved
232,232,3.9,Good service
233,233,3.2,Agent helpful
234,234,3.1,Resolved
235,235,3.9,Long wait
236,236,4.6,Good service
237,237,3.5,Unhelpful
238,238,4.5,Agent helpful
239,239,4.1,Agent helpful
240,240,4.4,Unhelpful
241,241,,Resolved
242,242,3.8,Good service
243,243,4.1,Agent helpful
244,244,4.7,Good service
245,245,4.0,Long wait
246,246,3.6,Long wait
247,247,2.7,Good service
248,248,4.4,
249,249,3.5,Unhelpful
250,250,3.6,Long wait
251,251,3.3,Unhelpful
252,252,3.8,Long wait
253,253,5.0,
254,254,4.2,Good service
255,255,3.5,Good service
256,256,3.7,Agent helpful
257,257,3.0,
258,258,3.2,Resolved
259,259,,Good service
260,260,3.1,Long wait
261,261,4.2,Agent helpful
262,262,4.3,Agent helpful
263,263,4.1,Good service
264,264,,Resolved
265,265,4.3,Good service
266,266,3.5,Resolved
267,267,3.2,Long wait
268,268,3.2,Resolved
269,269,3.2,Resolved
270,270,4.3,Unhelpful
271,271,5.0,Good service
272,272,3.3,
273,273,3.8,
274,274,4.1,Resolved
275,275,3.8,Unhelpful
276,276,4.2,Long wait
277,277,3.6,Good service
278,278,3.5,Long wait
279,279,3.9,Agent helpful
280,280,4.2,Good service
281,281,4.9,
282,282,4.3,Long wait
283,283,3.8,
284,284,4.6,Unhelpful
285,285,4.7,Good service
286,286,3.8,Good service
287,287,3.9,Unhelpful
288,288,,
289,289,3.7,Good service
290,290,4.6,Long wait
291,291,4.1,
292,292,3.0,Resolved
293,293,4.3,Agent helpful
294,294,5.0,
295,295,5.0,Agent helpful
296,296,3.7,Unhelpful
297,297,3.5,Long wait
298,298,5.0,Resolved
299,299,5.0,Agent helpful
300,300,,Agent helpful
301,301,4.3,Resolved
302,302,2.8,Long wait
303,303,3.6,
304,304,3.2,Good service
305,305,5.0,
306,306,2.9,Resolved
307,307,5.0,Long wait
308,308,3.9,Good service
309,309,3.2,Resolved
310,310,4.7,Resolved
311,311,4.4,Long wait
312,312,3.1,Resolved
313,313,4.0,Long wait
314,314,5.0,Agent helpful
315,315,3.7,Agent helpful
316,316,,Good service
317,317,5.0,
318,318,3.5,Good service
319,319,2.9,Agent helpful
320,320,4.0,Resolved
321,321,3.0,
322,322,4.1,Agent helpful
323,323,4.0,
324,324,3.5,Resolved
325,325,5.0,Good service
326,326,4.0,Unhelpful
327,327,4.6,Agent helpful
328,328,4.7,
329,329,5.0,Agent helpful
330,330,3.2,
331,331,,Long wait
332,332,2.8,Long wait
333,333,5.0,
334,334,4.4,Resolved
335,335,4.1,Unhelpful
336,336,,Unhelpful
337,337,3.9,Resolved
338,338,3.8,Agent helpful
339,339,4.6,Long wait
340,340,3.0,Resolved
341,341,4.3,Good service
342,342,4.7,Unhelpful
343,343,4.5,Good service
344,344,4.0,Long wait
345,345,4.0,Long wait
346,346,4.9,Good service
347,347,4.4,Agent helpful
348,348,5.0,Agent helpful
349,349,,Good service
350,350,2.8,Unhelpful
351,351,4.6,Long wait
352,352,3.4,Unhelpful
353,353,3.9,Agent helpful
354,354,5.0,Resolved
355,355,3.3,Long wait
356,356,,Long wait
357,357,5.0,Long wait
358,358,4.8,Long wait
359,359,4.4,Agent helpful
360,360,3.3,Unhelpful
361,361,3.9,Long wait
362,362,3.7,Resolved
363,363,3.1,Resolved
364,364,4.8,Long wait
365,365,3.7,Good service
366,366,3.9,Agent helpful
367,367,3.9,Unhelpful
368,368,3.9,Unhelpful
369,369,4.4,Good service
370,370,3.6,Resolved
371,371,4.7,
372,372,3.6,Resolved
373,373,4.0,
374,374,3.1,
375,375,4.8,Long wait
376,376,4.9,
377,377,4.5,Unhelpful
378,378,4.1,Good service
379,379,4.0,Resolved
380,380,2.9,Unhelpful
381,381,3.1,Long wait
382,382,4.5,
383,383,3.9,Long wait
384,384,3.0,
385,385,3.0,Agent helpful
386,386,4.4,Unhelpful
387,387,4.6,Resolved
388,388,2.9,Good service
389,389,4.1,
390,390,4.3,Agent helpful
391,391,3.6,Resolved
392,392,4.9,Long wait
393,393,3.8,Long wait
394,394,2.8,
395,395,3.9,
396,396,,Unhelpful
397,397,5.0,Long wait
398,398,3.8,Agent helpful
399,399,3.3,Agent helpful
400,400,,Good service
401,401,4.4,Unhelpful
402,402,4.2,Good service
403,403,4.0,Resolved
404,404,4.3,Resolved
405,405,3.5,
406,406,3.6,Unhelpful
407,407,4.5,Resolved
408,408,3.3,Good service
409,409,5.0,Unhelpful
410,410,4.9,
411,411,3.2,Good service
412,412,5.0,Good service
413,413,4.1,
414,414,5.0,Resolved
415,415,4.1,
416,416,3.9,
417,417,3.8,Long wait
418,418,2.3,
419,419,4.6,Agent helpful
420,420,3.5,Long wait
421,421,4.7,Unhelpful
422,422,5.0,Good service
423,423,3.6,Good service
424,424,3.6,Good service
425,425,4.7,Resolved
426,426,3.7,Long wait
427,427,4.9,Good service
428,428,3.5,Long wait
429,429,5.0,Resolved
430,430,3.8,Agent helpful
431,431,4.2,Unhelpful
432,432,4.7,Good service
433,433,,Unhelpful
434,434,4.4,Unhelpful
435,435,4.7,Long wait
436,436,3.0,Long wait
437,437,3.7,Unhelpful
438,438,4.0,Unhelpful
439,439,3.5,
440,440,4.7,Good service
441,441,3.6,Agent helpful
442,442,3.5,
443,443,4.7,Good service
444,444,3.3,Resolved
445,445,3.3,Agent helpful
446,446,4.4,Good service
447,447,4.9,Agent helpful
448,448,4.1,Agent helpful
449,449,2.9,Good service
450,450,4.5,Long wait
451,451,3.6,Resolved
452,452,4.8,
453,453,3.7,
454,454,4.8,
455,455,3.7,Long wait
456,456,3.5,
457,457,2.7,Unhelpful
458,458,3.5,Good service
459,459,,Good service
460,460,,
461,461,4.1,Long wait
462,462,,Resolved
463,463,4.1,Good service
464,464,4.4,Resolved
465,465,4.9,Long wait
466,466,4.0,Long wait
467,467,4.0,Good service
468,468,,Agent helpful
469,469,4.8,Resolved
470,470,4.2,
471,471,3.4,Unhelpful
472,472,3.6,
473,473,2.5,Unhelpful
474,474,3.3,Unhelpful
475,475,2.8,Good service
476,476,4.2,Unhelpful
477,477,4.8,Resolved
478,478,3.3,Agent helpful
479,479,3.4,Good service
480,480,4.7,Long wait
481,481,3.7,
482,482,4.2,Resolved
483,483,4.5,Long wait
484,484,3.5,Unhelpful
485,485,3.5,Agent helpful
486,486,3.6,Agent helpful
487,487,2.9,Resolved
488,488,4.3,Good service
489,489,4.4,
490,490,4.1,Resolved
491,491,5.0,Resolved
492,492,3.8,Agent helpful
493,493,4.4,Good service
494,494,4.3,Long wait
495,495,,Agent helpful
496,496,3.4,Long wait
497,497,4.8,Good service
498,498,4.1,Unhelpful
499,499,4.7,
500,500,3.1,
501,501,4.1,Agent helpful
502,502,3.7,Resolved
503,503,3.4,
504,504,5.0,Agent helpful
505,505,4.1,Resolved
506,506,3.0,Long wait
507,507,3.7,
508,508,4.7,Resolved
509,509,3.4,Resolved
510,510,3.3,
511,511,3.9,Unhelpful
512,512,4.3,Agent helpful
513,513,3.5,Unhelpful
514,514,4.3,Good service
515,515,4.0,Unhelpful
516,516,4.1,Agent helpful
517,517,2.3,Unhelpful
518,518,4.0,Unhelpful
519,519,3.8,Resolved
520,520,4.3,Good service
521,521,3.5,Unhelpful
522,522,3.7,Agent helpful
523,523,4.4,Resolved
524,524,5.0,
525,525,3.1,Resolved
526,526,4.4,Good service
527,527,4.9,Long wait
528,528,4.5,Good service
529,529,4.8,Long wait
530,530,3.6,
531,531,4.9,Agent helpful
532,532,3.5,Long wait
533,533,4.0,Unhelpful
534,534,3.6,Agent helpful
535,535,3.7,Resolved
536,536,2.8,Long wait
537,537,2.6,
538,538,4.8,Unhelpful
539,539,2.7,Agent helpful
540,540,4.2,
541,541,3.1,Agent helpful
542,542,3.4,Agent helpful
543,543,4.5,Agent helpful
544,544,4.1,Agent helpful
545,545,3.9,Agent helpful
546,546,4.8,Unhelpful
547,547,3.8,
548,548,4.9,Long wait
549,549,3.3,Agent helpful
550,550,3.2,
551,551,3.9,Resolved
552,552,,Good service
553,553,4.0,Good service
554,554,3.4,
555,555,3.8,Long wait
556,556,5.0,Agent helpful
557,557,3.7,
558,558,2.6,Good service
559,559,2.8,
560,560,5.0,Unhelpful
561,561,5.0,
562,562,3.7,Unhelpful
563,563,4.6,Good service
564,564,4.2,Resolved
565,565,4.9,Resolved
566,566,3.3,Resolved
567,567,3.3,Resolved
568,568,4.9,Long wait
569,569,3.0,
570,570,,Resolved
571,571,4.0,
572,572,4.0,Agent helpful
573,573,4.5,Resolved
574,574,4.1,Good service
575,575,3.9,
576,576,3.7,Good service
577,577,3.3,
578,578,3.9,
579,579,4.8,Resolved
580,580,3.8,Unhelpful
581,581,5.0,Good service
582,582,4.5,Agent helpful
583,583,4.3,Agent helpful
584,584,3.9,Agent helpful
585,585,3.6,Good service
586,586,5.0,
587,587,4.6,Unhelpful
588,588,3.9,Good service
589,589,5.0,Resolved
590,590,4.4,Long wait
591,591,3.0,Agent helpful
592,592,3.7,
593,593,4.5,Agent helpful
594,594,5.0,Agent helpful
595,595,5.0,Unhelpful
596,596,4.0,Long wait
597,597,4.4,Good service
598,598,3.6,Good service
599,599,3.4,Agent helpful
600,600,2.8,
601,601,4.3,Unhelpful
602,602,4.9,Resolved
603,603,4.5,Long wait
604,604,4.1,
605,605,4.9,Resolved
606,606,5.0,
607,607,3.4,Good service
608,608,2.3,Resolved
609,609,4.2,Good service
610,610,4.8,Resolved
611,611,2.9,
612,612,4.6,Long wait
613,613,3.8,Long wait
614,614,4.2,Unhelpful
615,615,3.4,Long wait
616,616,3.3,Resolved
617,617,3.2,Resolved
618,618,4.5,Unhelpful
619,619,3.6,Resolved
620,620,4.2,Unhelpful
621,621,4.0,Agent helpful
622,622,3.2,Resolved
623,623,4.1,
624,624,4.2,Good service
625,625,4.7,Resolved
626,626,5.0,Unhelpful
627,627,3.3,Long wait
628,628,4.2,
629,629,2.4,Agent helpful
630,630,4.6,Resolved
631,631,4.8,Unhelpful
632,632,2.1,Agent helpful
633,633,3.8,Resolved
634,634,,Agent helpful
635,635,3.4,
636,636,3.8,Long wait
637,637,3.6,Agent helpful
638,638,4.0,Agent helpful
639,639,4.7,Agent helpful
640,640,3.8,
641,641,3.3,
642,642,3.9,
643,643,3.8,Long wait
644,644,3.9,Agent helpful
645,645,3.6,Good service
646,646,4.3,Long wait
647,647,4.9,Resolved
648,648,3.1,
649,649,4.3,Resolved
650,650,4.7,Resolved
651,651,3.7,Good service
652,652,4.9,
653,653,4.0,Long wait
654,654,3.2,Resolved
655,655,3.1,Good service
656,656,4.5,Unhelpful
657,657,4.5,Good service
658,658,5.0,Unhelpful
659,659,4.5,Resolved
660,660,3.9,Good service
661,661,,
662,662,4.3,
663,663,4.1,Good service
664,664,3.8,Agent helpful
665,665,3.6,Good service
666,666,2.8,Long wait
667,667,3.5,Unhelpful
668,668,4.0,Long wait
669,669,2.1,Agent helpful
670,670,3.6,Good service
671,671,,Resolved
672,672,4.6,Agent helpful
673,673,4.9,Resolved
674,674,3.6,Good service
675,675,3.6,Resolved
676,676,3.5,Resolved
677,677,3.6,Long wait
678,678,4.8,
679,679,,Good service
680,680,5.0,Long wait
681,681,2.8,Resolved
682,682,,Agent helpful
683,683,3.4,Agent helpful
684,684,2.7,Agent helpful
685,685,4.0,Good service
686,686,3.7,Long wait
687,687,4.3,Unhelpful
688,688,4.5,Good service
689,689,4.4,Unhelpful
690,690,2.8,Agent helpful
691,691,,Good service
692,692,4.0,Agent helpful
693,693,2.8,Good service
694,694,5.0,Long wait
695,695,3.8,
696,696,3.0,Good service
697,697,3.6,
698,698,4.1,Agent helpful
699,699,4.5,
700,700,4.9,Resolved
701,701,4.0,Resolved
702,702,3.8,Agent helpful
703,703,4.5,Agent helpful
704,704,4.5,Long wait
705,705,4.1,Long wait
706,706,4.6,Long wait
707,707,3.6,Long wait
708,708,4.0,Long wait
709,709,2.6,Long wait
710,710,5.0,Long wait
711,711,3.7,Long wait
712,712,5.0,Long wait
713,713,3.5,Resolved
714,714,4.2,Good service
715,715,4.0,
716,716,3.6,Long wait
717,717,4.3,Resolved
718,718,4.9,Resolved
719,719,5.0,Unhelpful
720,720,4.5,Long wait
721,721,3.2,Agent helpful
722,722,3.0,Long wait
723,723,4.8,Resolved
724,724,3.3,Unhelpful
725,725,4.4,
726,726,4.1,Resolved
727,727,4.9,Good service
728,728,4.4,Good service
729,729,4.0,Agent helpful
730,730,5.0,
731,731,4.6,Resolved
732,732,4.4,Good service
733,733,3.5,Good service
734,734,3.2,
735,735,3.8,Good service
736,736,3.0,Resolved
737,737,3.8,
738,738,4.6,Resolved
739,739,4.7,Agent helpful
740,740,3.8,Agent helpful
741,741,5.0,Resolved
742,742,4.9,Unhelpful
743,743,4.0,Good service
744,744,4.8,Good service
745,745,3.6,Resolved
746,746,4.2,Agent helpful
747,747,3.7,Long wait
748,748,3.2,Agent helpful
749,749,4.4,
750,750,4.0,Agent helpful
751,751,4.0,Agent helpful
752,752,4.0,Resolved
753,753,3.4,
754,754,5.0,
755,755,4.2,Resolved
756,756,3.8,
757,757,3.1,Long wait
758,758,5.0,Unhelpful
759,759,4.6,Good service
760,760,4.0,
761,761,3.1,Long wait
762,762,5.0,
763,763,3.7,Good service
764,764,3.5,
765,765,4.0,Long wait
766,766,4.3,Unhelpful
767,767,3.9,
768,768,1.6,
769,769,4.2,Good service
770,770,4.6,Long wait
771,771,3.4,Unhelpful
772,772,5.0,Resolved
773,773,4.6,Resolved
774,774,4.3,Agent helpful
775,775,3.3,Resolved
776,776,4.2,Good service
777,777,4.2,Agent helpful
778,778,3.9,Good service
779,779,4.6,Agent helpful
780,780,3.7,Resolved
781,781,3.8,Agent helpful
782,782,3.5,Unhelpful
783,783,3.7,Resolved
784,784,,Unhelpful
785,785,3.9,Unhelpful
786,786,3.9,Unhelpful
787,787,3.8,Agent helpful
788,788,4.6,
789,789,5.0,Agent helpful
790,790,3.1,Good service
791,791,5.0,
792,792,4.5,Long wait
793,793,3.4,Resolved
794,794,3.8,Resolved
795,795,4.2,Unhelpful
796,796,2.8,
797,797,3.9,Long wait
798,798,4.4,Good service
799,799,3.5,Long wait
800,800,,Agent helpful
801,801,3.0,Unhelpful
802,802,4.1,Agent helpful
803,803,5.0,
804,804,,
805,805,3.5,Agent helpful
806,806,3.5,Good service
807,807,3.9,Long wait
808,808,5.0,Agent helpful
809,809,2.8,Resolved
810,810,4.5,
811,811,3.7,Good service
812,812,3.7,Unhelpful
813,813,3.3,Unhelpful
814,814,3.8,Agent helpful
815,815,3.3,Long wait
816,816,3.6,Unhelpful
817,817,2.3,Resolved
818,818,2.8,Unhelpful
819,819,4.2,Unhelpful
820,820,4.9,Unhelpful
821,821,5.0,Long wait
822,822,4.6,Resolved
823,823,3.6,Resolved
824,824,2.6,Long wait
825,825,4.4,Agent helpful
826,826,3.0,Agent helpful
827,827,3.4,
828,828,4.6,Agent helpful
829,829,4.2,Agent helpful
830,830,3.3,
831,831,2.8,
832,832,4.1,
833,833,4.2,Unhelpful
834,834,5.0,
835,835,2.3,Long wait
836,836,4.1,Agent helpful
837,837,4.6,Good service
838,838,,
839,839,3.7,Agent helpful
840,840,2.9,Unhelpful
841,841,3.4,Good service
842,842,4.0,Unhelpful
843,843,3.7,
844,844,4.2,
845,845,4.9,Good service
846,846,3.7,Resolved
847,847,4.9,Resolved
848,848,3.9,Unhelpful
849,849,4.2,Good service
850,850,3.9,Resolved
851,851,4.3,Agent helpful
852,852,4.4,
853,853,4.4,Long wait
854,854,4.0,Resolved
855,855,1.7,Unhelpful
856,856,4.4,Agent helpful
857,857,2.6,Long wait
858,858,3.6,Unhelpful
859,859,2.3,Agent helpful
860,860,5.0,Resolved
861,861,4.3,Agent helpful
862,862,3.8,Long wait
863,863,5.0,Unhelpful
864,864,4.4,Good service
865,865,4.1,Good service
866,866,4.3,Good service
867,867,3.7,Agent helpful
868,868,3.1,
869,869,4.7,Long wait
870,870,4.0,Long wait
871,871,2.8,Long wait
872,872,4.4,Resolved
873,873,4.0,Resolved
874,874,5.0,Long wait
875,875,4.2,Good service
876,876,3.2,
877,877,2.7,Unhelpful
878,878,4.9,Resolved
879,879,4.0,Agent helpful
880,880,3.4,Agent helpful
881,881,3.5,Unhelpful
882,882,4.9,
883,883,4.3,
884,884,4.8,Resolved
885,885,4.2,Good service
886,886,3.4,Agent helpful
887,887,5.0,
888,888,3.7,Long wait
889,889,4.6,Agent helpful
890,890,4.8,
891,891,4.0,Good service
892,892,3.2,
893,893,3.5,Long wait
894,894,4.5,Long wait
895,895,4.4,Agent helpful
896,896,,Agent helpful
897,897,4.9,Resolved
898,898,4.8,Resolved
899,899,3.3,Long wait
900,900,5.0,Good service
901,901,3.3,
902,902,4.4,Long wait
903,903,5.0,Good service
904,904,4.2,
905,905,2.8,Good service
906,906,3.8,Long wait
907,907,5.0,Resolved
908,908,3.9,Long wait
909,909,4.9,Resolved
910,910,3.3,Resolved
911,911,3.8,Long wait
912,912,3.8,Resolved
913,913,5.0,Resolved
914,914,3.8,Agent helpful
915,915,2.7,Agent helpful
916,916,5.0,
917,917,4.2,Good service
918,918,4.5,Long wait
919,919,2.9,Agent helpful
920,920,4.2,
921,921,4.0,Good service
922,922,3.3,Unhelpful
923,923,4.5,Agent helpful
924,924,2.8,Unhelpful
925,925,3.3,
926,926,,Good service
927,927,4.8,Unhelpful
928,928,3.5,Agent helpful
929,929,3.7,Good service
930,930,4.1,
931,931,3.7,
932,932,,Unhelpful
933,933,4.5,Unhelpful
934,934,4.1,Unhelpful
935,935,2.9,Good service
936,936,3.5,Resolved
937,937,3.4,Good service
938,938,3.7,Unhelpful
939,939,4.1,Unhelpful
940,940,4.2,
941,941,2.3,
942,942,,Resolved
943,943,4.7,Agent helpful
944,944,3.9,
945,945,3.2,Agent helpful
946,946,4.7,
947,947,2.5,Agent helpful
948,948,2.9,Unhelpful
949,949,5.0,
950,950,4.1,Long wait
951,951,3.5,Agent helpful
952,952,4.1,Agent helpful
953,953,3.9,
954,954,4.0,Agent helpful
955,955,4.3,Agent helpful
956,956,3.9,Good service
957,957,4.2,Good service
958,958,3.9,Long wait
959,959,3.4,Agent helpful
960,960,3.2,Unhelpful
961,961,4.9,Unhelpful
962,962,4.5,Long wait
963,963,4.7,Agent helpful
964,964,4.0,Agent helpful
965,965,4.2,Good service
966,966,3.9,Long wait
967,967,4.8,Agent helpful
968,968,3.8,Resolved
969,969,3.3,Resolved
970,970,4.4,Good service
971,971,3.9,Good service
972,972,,Resolved
973,973,4.2,Unhelpful
974,974,4.5,Unhelpful
975,975,3.6,Long wait
976,976,3.8,
977,977,3.8,Agent helpful
978,978,4.9,Agent helpful
979,979,4.0,Resolved
980,980,4.1,Unhelpful
981,981,3.2,Good service
982,982,4.5,
983,983,4.3,Unhelpful
984,984,3.4,Resolved
985,985,5.0,
986,986,4.2,Unhelpful
987,987,3.6,
988,988,4.0,
989,989,3.7,Good service
990,990,5.0,
991,991,4.7,Resolved
992,992,4.3,Long wait
993,993,5.0,Unhelpful
994,994,3.3,Long wait
995,995,4.5,Resolved
996,996,4.4,Long wait
997,997,3.8,Long wait
998,998,3.8,
999,999,4.6,
1000,1000,4.6,Good service
1001,1001,3.0,
1002,1002,5.0,Long wait
1003,1003,4.8,Resolved
1004,1004,3.8,Long wait
1005,1005,3.4,Good service
1006,1006,4.8,Agent helpful
1007,1007,4.3,
1008,1008,4.5,Long wait
1009,1009,4.4,Agent helpful
1010,1010,4.9,Good service
1011,1011,4.6,Resolved
1012,1012,3.6,Long wait
1013,1013,3.6,Agent helpful
1014,1014,4.2,Good service
1015,1015,5.0,Long wait
1016,1016,3.9,Long wait
1017,1017,4.3,Resolved
1018,1018,4.6,Agent helpful
1019,1019,,Agent helpful
1020,1020,3.7,Good service
1021,1021,4.6,Good service
1022,1022,,
1023,1023,4.0,Unhelpful
1024,1024,4.9,Good service
1025,1025,3.3,Agent helpful
1026,1026,5.0,Unhelpful
1027,1027,3.8,Unhelpful
1028,1028,4.4,Resolved
1029,1029,4.0,Agent helpful
1030,1030,3.2,
1031,1031,,Unhelpful
1032,1032,4.6,Good service
1033,1033,3.8,Good service
1034,1034,4.4,Unhelpful
1035,1035,3.4,Unhelpful
1036,1036,3.8,Resolved
1037,1037,3.8,Resolved
1038,1038,4.4,
1039,1039,4.2,Resolved
1040,1040,3.9,Long wait
1041,1041,3.7,Long wait
1042,1042,4.2,Long wait
1043,1043,4.1,Unhelpful
1044,1044,4.1,Long wait
1045,1045,5.0,
1046,1046,4.4,Good service
1047,1047,5.0,Good service
1048,1048,4.0,Long wait
1049,1049,4.0,Long wait
1050,1050,3.6,Agent helpful
1051,1051,4.2,Unhelpful
1052,1052,3.8,
1053,1053,3.7,Good service
1054,1054,2.7,Long wait
1055,1055,5.0,Agent helpful
1056,1056,3.7,Unhelpful
1057,1057,5.0,Good service
1058,1058,3.9,Unhelpful
1059,1059,4.5,
1060,1060,4.1,Unhelpful
1061,1061,4.3,Agent helpful
1062,1062,3.3,Long wait
1063,1063,4.8,Agent helpful
1064,1064,3.7,Agent helpful
1065,1065,4.6,Unhelpful
1066,1066,3.0,Unhelpful
1067,1067,3.5,Unhelpful
1068,1068,4.3,
1069,1069,3.9,Good service
1070,1070,4.3,Long wait
1071,1071,4.1,Unhelpful
1072,1072,5.0,Long wait
1073,1073,4.4,
1074,1074,3.7,
1075,1075,3.7,Unhelpful
1076,1076,4.8,Long wait
1077,1077,2.9,Agent helpful
1078,1078,4.4,Resolved
1079,1079,3.2,
1080,1080,4.8,Agent helpful
1081,1081,3.7,Agent helpful
1082,1082,4.4,
1083,1083,4.0,Unhelpful
1084,1084,3.0,
1085,1085,4.4,Good service
1086,1086,3.5,Unhelpful
1087,1087,,Good service
1088,1088,4.6,Agent helpful
1089,1089,3.3,Good service
1090,1090,4.2,Long wait
1091,1091,4.0,Long wait
